"filename", "language", "JSON", "XML", "ASP.NET Razor", "C#", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\PersistingRevalidatingAuthenticationStateProvider.cs", "C#", 0, 0, 0, 95, 0, 0, 1, 16, 112
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Shared\AccountLayout.razor", "ASP.NET Razor", 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Shared\ExternalLoginPicker.razor", "ASP.NET Razor", 0, 0, 38, 0, 0, 0, 0, 6, 44
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Shared\ManageLayout.razor", "ASP.NET Razor", 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Shared\ManageNavMenu.razor", "ASP.NET Razor", 0, 0, 74, 0, 0, 0, 0, 9, 83
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Shared\ManageNavMenu.razor.css", "PostCSS", 0, 0, 0, 0, 24, 0, 4, 4, 32
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Shared\ShowRecoveryCodes.razor", "ASP.NET Razor", 0, 0, 26, 0, 0, 0, 0, 3, 29
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Shared\StatusMessage.razor", "ASP.NET Razor", 0, 0, 23, 0, 0, 0, 0, 7, 30
"d:\Diplom\BlazorApp\BlazorApp\Components\App.razor", "ASP.NET Razor", 0, 0, 26, 0, 0, 0, 0, 6, 32
"d:\Diplom\BlazorApp\BlazorApp\Components\Layout\CultureSelector.razor", "ASP.NET Razor", 0, 0, 41, 0, 0, 0, 0, 5, 46
"d:\Diplom\BlazorApp\BlazorApp\Components\Layout\MainLayout.razor", "ASP.NET Razor", 0, 0, 27, 0, 0, 0, 0, 3, 30
"d:\Diplom\BlazorApp\BlazorApp\Components\Layout\MainLayout.razor.css", "PostCSS", 0, 0, 0, 0, 81, 0, 0, 16, 97
"d:\Diplom\BlazorApp\BlazorApp\Components\Layout\NavMenu.razor", "ASP.NET Razor", 0, 0, 222, 0, 0, 0, 0, 33, 255
